Year,state,Total_Agriculture_forestry_fishing_hunting_mining,Total_Construction,Total_Manufacturing,Total_Wholesale_trade,Total_Retail_trade,Total_Transportation_warehousing_utilities,Total_Information,Total_Finance_insurance_realestate_rental_leasing,Total_Professional_scientific_management_administrative_waste_management_services,Total_Educationalservices_healthcare_socialassistance,Total_Arts_entertainment_recreation_accommodation_foodservices,Total_Otherservices_except_Public_administration,Total_Public_administration,Male,Male_Agriculture_forestry_fishing_hunting_mining,Male_Construction,Male_Manufacturing,Male_Wholesale_trade,Male_Retail_trade,Male_Transportation_warehousing_utilities,Male_Information,Male_Finance_insurance_realestate_rental_leasing,Male_Professional_scientific_management_administrative_waste_management_services,Male_Educationalservices_healthcare_socialassistance,Male_Arts_entertainment_recreation_accommodation_foodservices,Male_Otherservices_except_Public_administration,Male_Public_administration,Female,Female_Agriculture_forestry_fishing_hunting_mining,Female_Construction,Female_Manufacturing,Female_Wholesale_trade,Female_Retail_trade,Female_Transportation_warehousing_utilities,Female_Information,Female_Finance_insurance_realestate_rental_leasing,Female_Professional_scientific_management_administrative_waste_management_services,Female_Educationalservices_healthcare_socialassistance,Female_Arts_entertainment_recreation_accommodation_foodservices,Female_Otherservices_except_Public_administration,Female_Public_administration,Gender_Agriculture_forestry_fishing_hunting_mining,Gender_Construction,Gender_Manufacturing,Gender_Wholesale_trade,Gender_Retail_trade,Gender_Transportation_warehousing_utilities,Gender_Information,Gender_Finance_insurance_realestate_rental_leasing,Gender_Professional_scientific_management_administrative_waste_management_services,Gender_Educationalservices_healthcare_socialassistance,Gender_Arts_entertainment_recreation_accommodation_foodservices,Gender_Otherservices_except_Public_administration,Gender_Public_administration
2019,MN,47404,130633,346810,71791,185073,103518,36853,177560,215947,445676,101439,76584,87875,1160867,41216,119567,248837,53080,107758,81617,22559,84965,130344,126581,55854,43273,45216,866296,6188,11066,97973,18711,77315,21901,14294,92595,85603,319095,45585,33311,42659,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,MO,37108,139591,291400,65767,204667,126603,42507,170436,210057,483886,119363,84649,110005,1153694,32048,127740,212476,47684,116052,100215,24802,74946,120401,125804,63352,49369,58805,932345,5060,11851,78924,18083,88615,26388,17705,95490,89656,358082,56011,35280,51200,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,MS,22875,62432,142081,25233,88364,62544,11491,46152,58268,229360,59512,36920,58331,490794,20611,58063,101436,18845,48807,49988,7161,17663,34523,51188,27498,22844,32167,412769,2264,4369,40645,6388,39557,12556,4330,28489,23745,178172,32014,14076,26164,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2019,MT,26443,30291,20006,9889,38595,20600,6110,22944,29330,79383,26069,14541,26887,200971,21968,27836,15826,7819,22780,16524,3264,8507,17572,22259,13330,8610,14676,150117,4475,2455,4180,2070,15815,4076,2846,14437,11758,57124,12739,5931,12211,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,NC,41670,253583,507740,99060,324114,177992,64618,258419,378854,744737,211662,140887,178828,1886540,34849,231653,352698,71050,182372,136412,41426,121609,226599,189856,110707,82557,104752,1495624,6821,21930,155042,28010,141742,41580,23192,136810,152255,554881,100955,58330,74076,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,ND,30509,22606,23338,12618,28192,17184,3525,18851,19003,65434,14225,11302,16941,167590,27502,20503,18193,10334,16232,14083,2209,7302,10713,16515,7501,7003,9500,116138,3007,2103,5145,2284,11960,3101,1316,11549,8290,48919,6724,4299,7441,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,NE,35225,54936,89114,23586,66523,48658,13681,63496,64225,161186,32311,28676,35342,412464,31601,50868,64642,18758,37581,39888,8343,28265,38548,41717,16866,16700,18687,304495,3624,4068,24472,4828,28942,8770,5338,35231,25677,119469,15445,11976,16655,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,NH,3596,37849,81033,16580,50959,21798,11287,37099,59847,112892,28036,18470,23671,289976,2777,35067,58139,12176,31052,16633,6744,16924,39072,30780,15040,11260,14312,213141,819,2782,22894,4404,19907,5165,4543,20175,20775,82112,12996,7210,9359,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,NJ,10872,200336,311937,124137,286094,211406,95847,318268,455662,677971,180296,119120,163361,1808033,7739,183962,202668,83958,167716,164304,62744,182182,282435,196924,107097,66307,99997,1347274,3133,16374,109269,40179,118378,47102,33103,136086,173227,481047,73199,52813,63364,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2019,NM,29974,48652,29260,13918,62178,30036,9457,33010,75948,153364,49219,28496,60159,350910,25787,44882,22269,10882,35369,24014,5638,14565,47176,43709,25114,16640,34865,272761,4187,3770,6991,3036,26809,6022,3819,18445,28772,109655,24105,11856,25294,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,NV,17757,75569,53384,24016,101248,64273,15514,59751,109960,154578,224309,41627,51825,567412,15187,68345,39288,16565,54396,49609,9979,27443,66060,45302,123116,22445,29677,426399,2570,7224,14096,7451,46852,14664,5535,32308,43900,109276,101193,19182,22148,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,NY,38471,408752,479676,181016,558259,408077,210121,639114,851292,1772809,476791,289776,385744,3719822,31270,374534,339397,126993,335840,326205,123035,366157,502509,519345,297017,147994,229526,2980076,7201,34218,140279,54023,222419,81872,87086,272957,348783,1253464,179774,141782,156218,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2019,OH,40952,221852,743674,124597,375871,226002,64315,298721,384384,894803,203008,144103,185600,2211266,34922,201123,554831,90127,209463,176715,38436,138141,233622,235355,105458,84097,108976,1696616,6030,20729,188843,34470,166408,49287,25879,160580,150762,659448,97550,60006,76624,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,OK,68407,96315,145860,38010,129476,79033,22476,78047,110113,284356,87166,58876,99348,740563,56568,88775,114163,28433,71980,63741,13671,30761,65368,72135,42290,34664,58014,556920,11839,7540,31697,9577,57496,15292,8805,47286,44745,212221,44876,24212,41334,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2019,OR,42332,89967,190242,45283,137099,65832,24576,83944,153095,278806,85934,50591,75935,767692,33926,80538,143612,33515,79829,49846,15140,38559,93887,84082,47239,27946,39573,555944,8406,9429,46630,11768,57270,15986,9436,45385,59208,194724,38695,22645,36362,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,PA,64185,270528,633868,140356,398240,267885,78061,335725,481731,1095112,221592,174891,217258,2475931,54313,247503,468094,102544,229306,211062,49367,158157,295078,311066,119973,102461,127007,1903501,9872,23025,165774,37812,168934,56823,28694,177568,186653,784046,101619,72430,90251,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,PR,6239,33555,73692,23153,70787,29104,12717,46604,64671,167723,42986,29570,78456,369337,5332,30658,45911,17141,40976,22821,8104,19407,41751,47577,26682,20228,42749,309920,907,2897,27781,6012,29811,6283,4613,27197,22920,120146,16304,9342,35707,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,RI,1409,20866,47797,10266,35199,14805,6186,29525,37388,91843,23944,14040,19151,197163,1110,19268,32952,7584,21671,11966,4043,14265,23457,27363,13120,7999,12365,155256,299,1598,14845,2682,13528,2839,2143,15260,13931,64480,10824,6041,6786,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,SC,15865,121335,270736,45840,161476,94377,29346,107929,167491,347193,111895,70015,89258,901320,13336,109473,195440,33260,86397,72928,15777,45950,98577,82105,56141,41810,50126,731436,2529,11862,75296,12580,75079,21449,13569,61979,68914,265088,55754,28205,39132,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,SD,22393,23327,37488,10590,29664,15616,4790,26650,20309,70618,18725,12608,17783,178406,20093,21611,27415,8647,17522,12630,2704,11387,11717,18221,9468,7321,9670,132155,2300,1716,10073,1943,12142,2986,2086,15263,8592,52397,9257,5287,8113,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,TN,22135,154397,352988,68356,222442,160234,40400,149864,223455,496854,144617,92261,115669,1254982,18770,141374,254264,49173,123225,120073,24705,63736,130115,133550,76757,54086,65154,988690,3365,13023,98724,19183,99217,40161,15695,86128,93340,363304,67860,38175,50515,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,TX,332994,905616,980836,323808,953430,625942,180627,734521,1147659,2038011,626624,434012,481294,5689311,273653,830236,738763,235338,541873,487957,117359,337312,711079,552756,332631,251070,279284,4076063,59341,75380,242073,88470,411557,137985,63268,397209,436580,1485255,293993,182942,202010,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,UT,20989,84168,128719,29718,101765,55913,21729,79189,131750,186840,55516,39060,61435,629236,17615,78365,95802,22299,61936,43906,14980,41910,89783,69286,30312,24905,38137,367555,3374,5803,32917,7419,39829,12007,6749,37279,41967,117554,25204,14155,23298,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2019,VA,27069,213291,256671,61570,252023,142427,62605,217469,501900,620689,172847,140455,333115,1670943,22755,190986,187933,45267,141506,110038,39804,99784,309174,163637,89509,71376,199174,1331188,4314,22305,68738,16303,110517,32389,22801,117685,192726,457052,83338,69079,133941,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,VT,5865,16302,28772,5748,21817,7806,3923,12218,20659,59352,15516,8002,12908,121009,4764,14873,20884,4517,12629,6033,2289,4972,12729,18196,8307,4480,6336,97879,1101,1429,7888,1231,9188,1773,1634,7246,7930,41156,7209,3522,6572,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Female
2019,WA,59235,180130,302582,81724,259342,146428,60074,149320,347670,474693,149580,94240,156724,1454187,46910,161271,230885,59259,150231,112049,40809,70573,222666,140896,79132,50359,89147,1007555,12325,18859,71697,22465,109111,34379,19265,78747,125004,333797,70448,43881,67577,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,WI,49302,129320,474400,65986,190207,104298,35403,149263,179037,431549,102937,74026,87260,1186451,40876,118557,344326,47453,106450,80147,21077,62078,106923,113465,55485,41814,47800,886537,8426,10763,130074,18533,83757,24151,14326,87185,72114,318084,47452,32212,39460,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,WV,23897,35539,50846,13416,56984,32751,7893,24263,42335,143709,31119,20202,44769,300397,21954,32473,40868,11191,32504,27724,5094,9897,26321,38243,15589,13307,25232,227326,1943,3066,9978,2225,24480,5027,2799,14366,16014,105466,15530,6895,19537,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2019,WY,25147,15586,9004,4429,18289,12936,2680,8378,11851,42512,13573,7323,14245,110575,21879,14314,7658,3539,9492,10830,1715,2528,6951,12590,7204,4601,7274,75378,3268,1272,1346,890,8797,2106,965,5850,4900,29922,6369,2722,6971,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,AK,9356,14933,7705,4972,21574,21114,5057,10075,18855,52808,13968,9662,32793,125700,7419,12927,5819,3780,12975,15469,3331,4151,10966,16999,7743,5947,18174,97172,1937,2006,1886,1192,8599,5645,1726,5924,7889,35809,6225,3715,14619,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,AL,23835,111740,266102,45552,152205,96606,25261,97836,152387,348647,81047,64537,107306,880630,20962,100788,196327,33764,83529,75529,15457,38357,94692,83744,38756,37996,60729,692431,2873,10952,69775,11788,68676,21077,9804,59479,57695,264903,42291,26541,46577,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2020,AR,26646,70469,153535,27654,117055,64620,14262,51795,72276,231256,48245,39215,51411,535788,23251,64859,109348,20287,65675,49758,8866,20690,42854,55985,24047,23813,26355,432651,3395,5610,44187,7367,51380,14862,5396,31105,29422,175271,24198,15402,25056,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female,Male,Male
2020,AZ,30052,180001,194383,60865,237880,135395,42757,229589,291109,477040,161373,90494,142163,1302386,24159,161799,144110,46258,137879,101590,27973,109724,177679,144923,90502,52017,83773,970715,5893,18202,50273,14607,100001,33805,14784,119865,113430,332117,70871,38477,58390,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,CA,247629,895435,1418940,418173,1159165,779944,412248,884245,1914277,2481274,927574,559223,722048,7512467,194904,813212,995685,290494,679979,596011,267455,441099,1205490,784963,537646,306996,398533,5307708,52725,82223,423255,127679,479186,183933,144793,443146,708787,1696311,389928,252227,323515,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,CO,50993,183226,167425,57948,190546,107078,63230,170607,306426,408487,145745,84975,119071,1197603,41901,164550,123999,42336,112954,84082,41883,83537,187617,119244,82810,44678,68012,858154,9092,18676,43426,15612,77592,22996,21347,87070,118809,289243,62935,40297,51059,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,CT,4826,80792,164096,36102,103497,56290,27699,139761,153702,300542,66356,46429,57064,697031,3281,74407,117229,26065,62045,42582,17168,74482,95369,87416,38453,24189,34345,540125,1545,6385,46867,10037,41452,13708,10531,65279,58333,213126,27903,22240,22719,Male,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Male,Male
2020,DC,416,8006,3575,1890,9933,9202,11639,20798,75060,47443,20479,28606,57644,146269,149,6499,2069,1437,5256,6529,5874,12041,40147,16308,10740,11287,27933,148422,267,1507,1506,453,4677,2673,5765,8757,34913,31135,9739,17319,29711,Female,Male,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Female
2020,DE,3645,24976,32050,7650,30820,19516,4432,37001,33392,79847,18158,11442,23033,176114,2731,22678,22057,5389,17814,15267,2710,17025,19601,21534,10340,6805,12163,149848,914,2298,9993,2261,13006,4249,1722,19976,13791,58313,7818,4637,10870,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
2020,FL,58249,595859,417952,209846,740968,434206,131370,602735,946324,1459145,630721,310521,375827,3843034,45313,529517,301240,149641,420250,333649,84218,284711,563015,399639,349319,169744,212778,3070689,12936,66342,116712,60205,320718,100557,47152,318024,383309,1059506,281402,140777,163049,Male,Male,Male,Male,Male,Male,Male,Female,Male,Female,Male,Male,Male
